pos,branch,date
1,CNTRO,2025-09-01
1,CAMALIG,2025-09-03
2,OLA,2025-09-03
2,SIPOCOT,2025-09-03
2,CAMALIG,2025-12-12
2,OLA,2025-12-12
2,CAMALIG,2025-12-13
2,OLA,2025-10-01
2,CNTRO,2025-09-21
1,CNTRO,2025-05-18
2,SMLGZ-FRN,2026-02-12
1,CNTRO,2026-02-10
2,SMLGZ-FRN,2026-02-15
1,CNTRO,2026-02-01
1,OLA,2026-02-01
2,SANPILI,2026-02-01
2,OLA,2026-02-02
1,CAMALIG,2026-01-02
2,OLA,2026-01-03
1,SIPOCOT,2026-01-03
1,CNTRO,2026-01-04
1,SANPILI,2026-01-04
1,CNTRO,2026-01-05
1,CNTRO,2026-01-06
1,CAMALIG,2026-01-08
2,OLA,2026-01-09
1,CAMALIG,2026-01-10
1,SIPOCOT,2026-02-04
1,SANPILI,2026-02-08
2,CNTRO,2025-06-01
1,MAGS,2025-06-01
2,MAGS,2025-06-01
1,OLA,2025-06-01
2,OLA,2025-06-01
2,SANPILI,2025-06-01
2,CNTRO,2025-06-02
1,OLA,2025-06-02
2,OLA,2026-02-05
2,OLA,2026-02-06
1,SIPOCOT,2026-02-07
1,SANPILI,2026-02-09
1,SIPOCOT,2026-02-12
2,SANPILI,2026-02-15
1,CNTRO,2026-02-20
2,OLA,2026-02-20
1,CAMALIG,2026-02-22
2,OLA,2026-02-22
1,SANPILI,2026-02-22
2,OLA,2026-02-24
2,OLA,2026-02-25
2,OLA,2026-02-26
2,OLA,2026-02-27
1,CAMALIG,2026-02-20
2,CNTRO,2026-03-01
1,OLA,2026-03-01
1,SANPILI,2026-03-01
2,CNTRO,2026-03-02
1,CAMALIG,2026-03-03
1,OLA,2026-01-31
1,ROB-FRN,2026-01-31
1,SANPILI,2026-01-28
2,OLA,2026-01-29
2,OLA,2026-01-30
2,CNTRO,2026-04-05
1,SANPILI,2026-04-06
2,CNTRO,2026-04-12
